<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20161219,000000,64.7350000,65.0585000,63.9920000,64.3620000,371093
20161220,000000,64.3620000,64.4970000,63.5720000,63.8440000,438148
20161221,000000,63.8440000,63.8840000,63.4060000,63.7520000,405708
20161222,000000,63.7520000,63.9530000,63.3680000,63.5920000,346453
20161223,000000,63.5920000,64.0970000,63.4220000,63.7200000,361645
20161224,000000,63.7320000,64.1440000,63.4940000,63.7190000,903
20161225,000000,63.8680000,63.8680000,63.6846000,63.7720000,10
20161226,000000,63.7960000,64.1130000,63.4468000,63.7420000,169843
20161227,000000,63.6830000,64.8955000,63.2410000,63.4630000,328226
20161228,000000,63.4630000,64.2846000,62.3880000,62.8080000,357604
20161229,000000,62.8080000,63.7540000,62.7160000,63.1602000,170063
20161230,000000,63.3760000,65.0750000,62.8270000,64.6900000,120674
20161231,000000,64.7250000,64.9069000,64.2993000,64.7460000,218
20170101,000000,64.4500000,64.8953000,64.3030000,64.3610000,348
20170102,000000,64.3550000,64.8818000,63.8356000,63.8495000,2824
20170103,000000,64.0000000,64.1860000,62.5060000,63.3980000,178900
20170104,000000,63.3980000,63.8170000,62.8970000,63.3890000,160553
20170105,000000,63.3910000,63.7380000,62.2230000,62.9940000,228761
20170106,000000,62.9940000,63.2680000,62.4590000,62.7720000,160382
20170107,000000,62.7720000,63.0749000,62.5680000,62.7280000,1384
20170108,000000,62.6540000,62.7860000,62.6540000,62.7090000,313
20170109,000000,62.7230000,63.5100000,62.4406000,63.4530000,295306
20170110,000000,63.4530000,63.7710000,62.8730000,63.4350000,417470
20170111,000000,63.4430000,63.6420000,62.9110000,63.2100000,428066
20170112,000000,63.2100000,63.5520000,62.8339000,62.9450000,370875
20170113,000000,62.9470000,63.5840000,62.8410000,63.3800000,247020
20170114,000000,63.3680000,63.5400000,63.2190000,63.4540000,398
20170115,000000,63.2040000,63.4160000,63.1150000,63.1210000,305
20170116,000000,63.1200000,64.0415000,62.7142000,63.4230000,247774
20170117,000000,63.4230000,64.5701000,63.0890000,63.6010000,473337
20170118,000000,63.6010000,63.7530000,62.9937000,63.2000000,417351
20170119,000000,63.1980000,64.2370000,62.9450000,63.5610000,484893
20170120,000000,63.5630000,64.0430000,63.2120000,63.6660000,432402
20170121,000000,63.7170000,63.9840000,63.6150000,63.8680000,234
20170123,000000,63.8500000,64.2050000,63.5540000,63.9310000,408439
20170124,000000,63.9310000,64.3435000,63.4260000,63.6030000,413432
20170125,000000,63.6030000,64.0070000,63.2120000,63.9490000,430972
20170126,000000,63.9880000,64.8920000,63.7190000,64.4200000,474586
20170127,000000,64.4210000,64.5680000,63.6760000,63.9950000,430699
20170128,000000,63.9920000,64.2670000,63.8900000,64.2670000,2075
20170129,000000,63.9090000,64.3032000,63.7429000,63.7429000,407
20170130,000000,64.0720000,64.5980000,63.5838000,63.9240000,400042
20170131,000000,63.9240000,65.0390000,63.4058000,64.8680000,397246
20170201,000000,64.8680000,65.1280000,64.5350000,64.6780000,414118
20170202,000000,64.6780000,64.8680000,63.1630000,63.7256000,277433
20170203,000000,63.7720000,64.0400000,63.3180000,63.5540000,404862
20170204,000000,63.5540000,63.6530000,63.4560000,63.5026000,1908
20170205,000000,63.5560000,63.6740000,63.5260000,63.6320000,297
20170206,000000,63.6380000,64.7089000,62.9130000,63.2950000,283988
20170207,000000,63.2960000,63.5050000,62.9460000,63.4320000,317141
20170208,000000,63.4320000,63.5620000,62.9860000,63.3100000,307689
20170209,000000,63.2970000,63.3760000,62.6440000,62.8250000,291057
20170210,000000,62.8250000,62.9110000,61.8180000,61.9590000,310103
20170211,000000,62.0050000,62.0600000,61.6949000,62.0030000,1827
20170212,000000,61.9190000,62.0430000,61.6339000,61.9965000,363
20170213,000000,62.0300000,62.2500000,61.3000000,61.4130000,276336
20170214,000000,61.4400000,61.7220000,60.1850000,60.3440000,307757
20170215,000000,60.3440000,61.0960000,59.7420000,60.6700000,302064
20170216,000000,60.6700000,61.5460000,60.4010000,61.3890000,292031
20170217,000000,61.3890000,62.1210000,60.8350000,61.9880000,185028
20170218,000000,61.9360000,62.1570000,61.5586000,61.8690000,308
20170219,000000,61.9460000,62.0620000,61.3196000,61.3407000,302
20170220,000000,61.9390000,62.0390000,61.3375000,61.3872000,187777
20170221,000000,61.4380000,61.5880000,60.4820000,60.5310000,279942
20170222,000000,60.5310000,61.4010000,60.2810000,61.3690000,254235
20170223,000000,61.3690000,61.3840000,60.7830000,61.0660000,168467
20170224,000000,61.0660000,62.0440000,60.9430000,61.7370000,252372
20170225,000000,61.7370000,62.1505000,61.5500000,61.7630000,1666
20170226,000000,61.6970000,61.8270000,61.6671000,61.7320000,179
20170227,000000,61.7290000,61.7550000,60.9290000,61.5200000,208792
20170228,000000,61.5200000,62.1260000,61.1600000,61.7790000,318606
20170301,000000,61.7790000,61.8130000,60.9245000,61.4330000,313947
20170302,000000,61.4330000,61.8320000,61.1170000,61.7920000,313617
20170303,000000,61.7900000,62.1820000,61.5260000,61.8150000,344773
20170304,000000,61.8150000,62.1480000,61.6830000,62.1480000,1495
20170305,000000,61.7570000,62.0958000,61.6750000,62.0226000,365
20170306,000000,61.6870000,63.4221000,61.3170000,61.5900000,279777
20170307,000000,61.5870000,61.7900000,61.0980000,61.4550000,284185
20170308,000000,61.4610000,62.1790000,61.2960000,62.0340000,232896
20170309,000000,62.0340000,63.0210000,61.6550000,62.7670000,392084
20170310,000000,62.7670000,63.0860000,62.3890000,62.9510000,353416
20170311,000000,62.8650000,63.4295000,62.8130000,63.1570000,1486
20170312,000000,63.4506000,63.5061000,62.6441000,62.6738000,356
20170313,000000,62.6940000,63.4325000,62.5480000,62.6020000,333101
20170314,000000,62.6510000,63.3730000,62.5120000,62.6840000,327046
20170315,000000,62.7270000,63.1148000,62.4230000,62.6370000,341205
20170316,000000,62.7730000,62.8140000,61.6940000,62.0340000,371902
20170317,000000,62.2010000,62.4600000,61.2670000,61.3712000,320221
20170318,000000,61.4750000,61.5331000,61.3300000,61.5331000,12
20170319,000000,61.4669000,61.6000000,61.4380000,61.5689000,136
20170320,000000,61.5810000,61.9600000,61.4230000,61.4880000,286224
20170321,000000,61.4880000,62.3820000,61.3960000,62.3710000,331713
20170322,000000,62.3680000,62.9580000,62.0700000,62.2820000,336178
20170323,000000,62.3260000,62.3820000,61.7130000,61.8045000,330994
20170324,000000,61.8610000,62.1110000,60.9350000,61.0067000,304736
20170325,000000,61.4490000,61.4650000,61.0461000,61.0744000,11
20170326,000000,61.4110000,61.7370000,61.0320000,61.6440000,490
20170327,000000,61.7420000,62.2590000,61.5550000,61.7110000,267623
20170328,000000,61.7130000,62.0460000,61.4960000,61.6220000,297046
20170329,000000,61.6220000,61.7070000,60.7750000,60.8510000,295689
20170330,000000,60.8990000,61.0410000,59.6770000,59.8360000,310234
20170331,000000,59.8880000,60.4170000,59.6080000,59.8858000,305465
20170401,000000,59.9290000,59.9910000,59.8959000,59.9910000,25
20170402,000000,59.9445000,60.0750000,59.7726000,59.9010000,201
20170403,000000,59.8060000,60.5640000,59.6140000,59.9037000,260427
20170404,000000,59.9160000,60.3890000,59.6640000,59.7549000,270599
20170405,000000,59.8750000,60.2000000,59.5020000,60.0400000,247659
20170406,000000,60.0610000,60.3340000,59.7800000,59.8570000,267464
20170407,000000,59.8570000,60.8360000,59.8570000,60.5530000,333206
20170408,000000,60.6300000,60.6600000,60.4097000,60.4112000,14
20170409,000000,60.5930000,60.7760000,60.5070000,60.5420000,178
20170410,000000,60.7740000,60.9460000,60.3350000,60.5039000,262964
20170411,000000,60.6020000,60.7570000,60.1540000,60.3145000,284834
20170412,000000,60.3380000,60.7670000,59.9790000,60.7202000,280963
20170413,000000,60.8950000,60.9245000,59.5900000,59.7030000,239764
20170414,000000,59.6370000,59.8900000,59.5050000,59.6158000,113596
